Year,District,LandCoverClass,PixelCount,Percentage,LandCoverLabel,Precipitation (mm),GPP,PopDensity,cluster_label
2010,Aghorat,7,136,2.051282051282051,Open Shrublands,307.3039,1057.8055509390065,11.537289,6
2011,Aghorat,7,168,0.8667388949079089,Open Shrublands,183.25092,600.8397872694034,11.797093,6
2012,Aghorat,7,130,0.670690811535882,Open Shrublands,294.59027,1148.9208908093735,12.056898,6
2013,Aghorat,7,151,0.7790331733993706,Open Shrublands,223.23447,852.3985374771481,12.316703,6
2014,Aghorat,7,106,0.5468709694061806,Open Shrublands,191.02298,762.2253614758185,12.576508,6
2015,Aghorat,7,99,0.5107568487850178,Open Shrublands,230.87936,865.7364134950973,12.836312,6
2016,Aghorat,7,91,0.4694835680751174,Open Shrublands,272.00308,1356.4793086255609,13.133139,6
2017,Aghorat,7,57,0.2940721250580406,Open Shrublands,213.04013,508.6195778627223,13.429965,6
2018,Aghorat,7,32,0.1650931228396017,Open Shrublands,218.9738,671.4713312281868,13.72679,6
2019,Aghorat,7,22,0.1135015219522261,Open Shrublands,162.61789,804.706165863387,14.023617,6
2020,Aghorat,7,26,0.1341381623071764,Open Shrublands,331.05035,1166.516204088416,14.320443,6
2021,Aghorat,7,24,0.1238198421297012,Open Shrublands,187.69357,589.1793252451388,14.320443,6
2022,Aghorat,7,16,0.0825465614198008,Open Shrublands,282.463,1374.15738740236,14.320443,6
2023,Aghorat,7,14,0.0722282412423257,Open Shrublands,225.26073,715.6114342695696,14.320443,6
2010,Assaba,7,2561,63.43130378600503,Open Shrublands,9191.147,31501.633245326822,14.728934,6
2011,Assaba,7,3588,31.24713199548047,Open Shrublands,4808.837,17962.69652774919,15.073029,6
2012,Assaba,7,2648,26.362189472961493,Open Shrublands,8626.422,33072.77165245978,15.417123,6
2013,Assaba,7,2560,26.59203120861515,Open Shrublands,6321.2197,23898.40876220692,15.761217,6
2014,Assaba,7,1798,20.14610223733126,Open Shrublands,5522.559,19977.97448375056,14.529149,6
2015,Assaba,7,1660,19.913001650205658,Open Shrublands,5577.556,23507.7753590404,14.831716,6
2016,Assaba,7,1422,16.52934403971088,Open Shrublands,6791.8257,31477.713508505127,15.1850395,6
2017,Assaba,7,1097,13.008507879057367,Open Shrublands,4880.7666,13743.491473058582,15.9301815,6
2018,Assaba,7,939,11.326488595467104,Open Shrublands,5508.1255,19501.10475692561,16.297998,6
2019,Assaba,7,826,10.163557402767069,Open Shrublands,3771.4055,17015.191613931045,17.162434,6
2020,Assaba,7,834,11.012026638865969,Open Shrublands,7061.9634,27700.91756280993,20.205156,6
2021,Assaba,7,995,13.151037058887884,Open Shrublands,4730.265,14874.287562923711,16.968742,6
2022,Assaba,7,724,10.758524668774362,Open Shrublands,4882.139,27916.25063199017,17.729595,6
2023,Assaba,7,522,8.346020715790017,Open Shrublands,4252.0244,16979.1178327774,17.729595,6
2010,Barkeiwel,7,3,0.3901170351105332,Open Shrublands,425.15533,1031.1538461538462,48.570004,4
2011,Barkeiwel,7,3,0.1847290640394088,Open Shrublands,199.1936,446.9384615384615,49.9108,4
2012,Barkeiwel,7,2,0.1231527093596059,Open Shrublands,357.71497,938.5282051282052,51.2516,4
2013,Barkeiwel,7,1,0.0615763546798029,Open Shrublands,235.92525,639.1025641025641,52.592392,4
2020,Barkeiwel,7,2,0.1231527093596059,Open Shrublands,288.0527,730.1179487179487,63.225662,4
2021,Barkeiwel,7,3,0.1847290640394088,Open Shrublands,237.91096,315.61538461538464,63.225662,4
2022,Barkeiwel,7,2,0.1231527093596059,Open Shrublands,206.5231,780.1435897435897,63.225662,4
2023,Barkeiwel,7,2,0.1231527093596059,Open Shrublands,204.45757,586.974358974359,63.225662,4
2010,Blajmil,7,96,0.6124792650248819,Open Shrublands,410.10974,1728.5635806801506,5.054763,6
2011,Blajmil,7,155,0.5977862624860195,Open Shrublands,278.5179,888.3477317680087,5.1936398,6
2012,Blajmil,7,62,0.2391145049944077,Open Shrublands,485.53146,1675.3032603841,5.3325167,6
2013,Blajmil,7,88,0.339388329669482,Open Shrublands,342.0117,1014.3784214891851,5.4713936,6
2014,Blajmil,7,20,0.0771337112885186,Open Shrublands,321.04138,1072.3930964078352,5.6102705,6
2015,Blajmil,7,16,0.0617069690308149,Open Shrublands,355.61407,1138.5286160913672,5.7491474,6
2016,Blajmil,7,19,0.0732770257240927,Open Shrublands,399.08063,1898.5233203598543,5.9063535,6
2017,Blajmil,7,12,0.0462802267731111,Open Shrublands,321.86996,727.0197154341862,6.0635595,6
2018,Blajmil,7,15,0.0578502834663889,Open Shrublands,363.91714,992.1564473936068,6.220766,6
2019,Blajmil,7,11,0.0424235412086852,Open Shrublands,268.24817,932.8172653608116,6.377972,6
2020,Blajmil,7,13,0.0501369123375371,Open Shrublands,527.64136,1751.833599183309,6.535178,6
2021,Blajmil,7,13,0.0501369123375371,Open Shrublands,310.22455,859.6564154916098,6.535178,6
2010,Bou Lahrath,7,25,0.3913587977457733,Open Shrublands,368.6938,1031.191983122363,6.978767,6
2011,Bou Lahrath,7,15,0.1058201058201058,Open Shrublands,156.62473,568.6603375527426,7.123492,6
2012,Bou Lahrath,7,16,0.1128747795414462,Open Shrublands,311.6807,1066.090717299578,7.2682166,6
2013,Bou Lahrath,7,23,0.1622574955908289,Open Shrublands,216.38599,778.824894514768,7.412942,6
2014,Bou Lahrath,7,12,0.0846560846560846,Open Shrublands,176.69124,611.9894514767932,7.557667,6
2015,Bou Lahrath,7,14,0.0987654320987654,Open Shrublands,169.81422,601.8143459915611,7.7023916,6
2016,Bou Lahrath,7,9,0.0634920634920634,Open Shrublands,215.33305,820.2067510548524,7.865424,6
2017,Bou Lahrath,7,5,0.0352733686067019,Open Shrublands,164.37206,365.084388185654,8.028457,6
2018,Bou Lahrath,7,6,0.0423280423280423,Open Shrublands,200.08202,565.7995780590717,8.191488,6
2019,Bou Lahrath,7,8,0.0564373897707231,Open Shrublands,132.17911,450.246835443038,8.354521,6
2020,Bou Lahrath,7,9,0.0634920634920634,Open Shrublands,253.74619,858.1497890295359,8.517553,6
2021,Bou Lahrath,7,11,0.0776014109347442,Open Shrublands,212.85808,411.1835443037975,8.517553,6
2022,Bou Lahrath,7,6,0.0423280423280423,Open Shrublands,203.89012,1098.4535864978902,8.517553,6
2023,Bou Lahrath,7,5,0.0352733686067019,Open Shrublands,187.24265,634.2552742616034,8.517553,6
2010,Boumdeid,7,20,2.865329512893983,Open Shrublands,188.42981,1448.6470588235295,10.4746895,6
2011,Boumdeid,7,13,1.0317460317460316,Open Shrublands,78.8452,969.1176470588236,10.205871,6
2012,Boumdeid,7,15,1.1904761904761905,Open Shrublands,132.26643,1694.0588235294117,9.937052,6
2013,Boumdeid,7,17,1.3492063492063493,Open Shrublands,112.09595,1243.3529411764705,9.668234,6
2014,Boumdeid,7,16,1.2698412698412698,Open Shrublands,79.54671,1133.3529411764705,9.399415,6
2015,Boumdeid,7,18,1.4285714285714286,Open Shrublands,108.299706,1307.5882352941176,9.130596,6
2016,Boumdeid,7,17,1.3492063492063493,Open Shrublands,130.49396,1662.8235294117646,8.953974,6
2017,Boumdeid,7,16,1.2698412698412698,Open Shrublands,72.63767,1034.3529411764705,8.777351,6
2018,Boumdeid,7,13,1.0317460317460316,Open Shrublands,104.98385,1117.764705882353,8.600729,6
2019,Boumdeid,7,11,0.873015873015873,Open Shrublands,67.432205,963.5882352941176,8.424107,6
2020,Boumdeid,7,11,0.873015873015873,Open Shrublands,112.5881,1544.9411764705883,8.247484,6
2021,Boumdeid,7,12,0.9523809523809524,Open Shrublands,85.105576,1177.3529411764705,8.247484,6
2022,Boumdeid,7,8,0.6349206349206349,Open Shrublands,109.27838,1774.2941176470588,8.247484,6
2023,Boumdeid,7,7,0.5555555555555556,Open Shrublands,107.28325,1202.4117647058824,8.247484,6
2010,Daghveg,7,87,3.023983315954119,Open Shrublands,450.47302,1094.0771558245085,15.053497,6
2011,Daghveg,7,75,1.1177347242921014,Open Shrublands,219.24843,641.9092284417549,15.501566,6
2012,Daghveg,7,63,0.9388971684053652,Open Shrublands,380.32608,1093.1376701966717,15.949635,6
2013,Daghveg,7,50,0.7451564828614009,Open Shrublands,274.57126,776.2965204236006,16.397703,6
2014,Daghveg,7,19,0.2831594634873323,Open Shrublands,261.09634,654.4629349470499,16.845772,6
2015,Daghveg,7,24,0.3576751117734724,Open Shrublands,225.35396,729.642965204236,17.29384,6
